"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"India","Men",1975,122.350379201644,114.041113797741,130.406286094676,78.0079405684255,72.4359682242413,83.7951056171793,0.242063137816121,0.140102047246065,0.361623487511776,0.205485139518641,0.115451704957503,0.315216058896748,35545214.0886935,19449804.3053506,54836087.5138175
"India","Men",1976,122.455017129052,114.618920944951,129.962310804808,78.0570720987633,72.8732794788703,83.3824300226402,0.242517193661246,0.145429433644493,0.355080050545722,0.205493935197024,0.120293322953396,0.308229193908557,36525635.9033599,20734405.7539518,55089526.4021687
"India","Men",1977,122.557282981479,115.219463150495,129.52426930998,78.1039114217104,73.2996187099929,83.0918731727059,0.242985336667377,0.151062029295614,0.348326729227873,0.205587662716756,0.124488660912393,0.301771348115669,37538628.0542857,22079584.4776768,55450920.9270778
"India","Men",1978,122.655957288642,115.878854974551,129.206491919494,78.1484761565183,73.6667938539094,82.785493505748,0.243476618267358,0.15604271908375,0.342532284108482,0.205761154298662,0.128542456774303,0.295435195218399,38585311.4475495,23466345.5774746,55795756.5200728
"India","Men",1979,122.756322337684,116.518463965084,128.682055515423,78.1933394745133,73.9702788665139,82.4654594009256,0.244013295034634,0.160330873203063,0.337049037455205,0.206013490738453,0.132654767990424,0.290323129237338,39669798.4045601,24859451.3927464,56368725.9560919
"India","Men",1980,122.859814390296,117.061837508668,128.433256710395,78.2412799978712,74.2752450037027,82.2136094427725,0.244670891500997,0.165026454081246,0.332724380052913,0.206398860099295,0.136103942886257,0.286213330542964,40806129.5256143,26342535.323746,56982024.3317444
"India","Men",1981,122.964458808861,117.603004161966,128.125108985606,78.2885599627715,74.5261422771273,81.9860220038089,0.245360648917836,0.169701022691068,0.329014061968204,0.206836902408491,0.139510807991195,0.281712055316048,41978997.8226307,27781488.8715039,57767125.6694407
"India","Men",1982,123.071650281176,118.098214880516,127.926702121718,78.335794034721,74.8560847585509,81.7508406291454,0.246058128081145,0.174121125165576,0.324963824245194,0.207313078481192,0.143665189324698,0.278594725191139,43183993.6955157,29301589.148359,58592350.4642786
"India","Men",1983,123.176518692961,118.540916601708,127.648956982607,78.3802745556869,75.1045436788695,81.5550281786553,0.246694916062402,0.177947365103302,0.321292030625393,0.207769881608104,0.146929379686299,0.275374519468208,44409333.4539308,30757750.8318064,59485160.9647598
"India","Men",1984,123.284296394752,119.009201779677,127.415659975601,78.4250113979577,75.3442258446878,81.4020729543348,0.24729745710461,0.181787497092964,0.319315998730638,0.208237083796592,0.15030557204493,0.273487071018931,45661300.1636507,32215316.8192829,60524394.2494847
"India","Men",1985,123.395866137929,119.390476692043,127.267606292232,78.4711065769367,75.5960276577497,81.2532443532886,0.247918658064636,0.184716920265421,0.317925619641675,0.208765043961775,0.152896704717682,0.271817856784894,46951383.7295355,33664638.3744989,61646769.9368908
"India","Men",1986,123.510526724292,119.746890046675,127.163558336653,78.5143956249713,75.8206922388874,81.1342227688887,0.248543133072122,0.187292005294408,0.315563192624677,0.209341816594523,0.155246366900001,0.269578093635137,48278460.0269333,35058175.3759088,62724875.3117591
"India","Men",1987,123.628481524497,120.088616824211,127.104278856881,78.5540113544061,76.027845056235,81.0043184220086,0.249139406391799,0.189980137621103,0.313490274065579,0.209935197580134,0.15726393050563,0.268074724312575,49635616.4210403,36460912.7845472,63966232.2486164
"India","Men",1988,123.747530848276,120.428609093255,127.04796698158,78.5875068163793,76.2226325831398,80.911753880353,0.249699739018012,0.192095449539626,0.312112755911508,0.210530374025444,0.159835588223146,0.266715510132739,51018027.4362145,37840251.9924877,65282444.2203436
